Distance, Omega_Lambda2, Omega_Lambda3, h, omega_b, omega_cdm, A_s, n_s, tau_reio
2483.919889881672, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.956, 0.054
2402.8527091937794, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.956, 0.055
2334.1030993270233, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.956, 0.056
2279.3014648586814, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.956, 0.057
2463.2657629768673, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.958, 0.054
2389.37547235297, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.958, 0.055
2328.3111617761424, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.958, 0.056
2281.55943568603, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.958, 0.057
2453.245822718157, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.96, 0.054
2386.8659696389436, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.96, 0.055
2333.7334005333305, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.96, 0.056
2295.1644566379655, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.96, 0.057
2453.9125996123307, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.962, 0.054
2395.2793765645656, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.962, 0.055
2350.211734219309, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.962, 0.056
2319.8357341582237, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.962, 0.057
2465.180681034354, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.964, 0.054
2414.423494519227, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.964, 0.055
2377.4373988603547, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.964, 0.056
2355.146241114205, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.964, 0.057
2486.830522317468, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.966, 0.054
2443.969737920043, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.966, 0.055
2414.969924688046, 1.6e-07, -0.015, 0.65, 0.0218, 0.118, 2.09e-09, 0.966, 0.056
